placa,franqueado,inicio_ctt,fim_ctt,motivo,causa
SKM6J04,PH LOCACAO DE VEICULOS LTDA,06/01/2025,05/08/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGV3D69,NC LOCMAIS SERVICOS LTDA,16/06/2025,05/08/2025,"Cancelamento de Contrato por Desistência - O contrato foi encerrado a pedido do locatário, por motivo de desistência da continuidade da locação. Conforme disposto nas cláusulas contratuais previamente acordadas, o valor referente ao caução não será restituído, considerando que a rescisão ocorreu por iniciativa do locatário, sem cumprimento do prazo mínimo estabelecido.",Desistencia
TLF2I80,MG RENTAL MOTOS - Salvador,10/04/2025,05/08/2025,Sem informações,Sem informações
SKR6E74,REALIZAR LOCACAO DE AUTOMOVEIS LTDA,19/03/2025,04/08/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKP5E44,D & M LOCADORA DE VEICULOS LTDA,24/07/2025,04/08/2025,"O contrato foi encerrado por decisão do locatário, que solicitou a devolução do veículo por motivos pessoais, sem apontar insatisfação com o serviço ou produto. A caução será tratada conforme as cláusulas contratuais.",motivos pessoais
SKP7J89,D & M LOCADORA DE VEICULOS LTDA,02/08/2025,04/08/2025,"Contrato cancelado a pedido do locatário por não adaptação ao modelo da motocicleta. A decisão foi tomada logo após o início da locação. Caução será devolvida/descontada conforme previsto contratualmente.",não adaptação ao modelo da motocicleta
SKT5D63,FBF LOCACOES E SERVICOS LTDA,04/08/2025,04/08/2025,TROCA DE MOTO,TROCA DE MOTO
TGR8J52,NC LOCMAIS SERVICOS LTDA,02/05/2025,04/08/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TGW1C51,LIT SERVICOS LTDA,21/07/2025,04/08/2025,"O locatário informou que está sem condições financeiras para continuar com a locação, solicitando o encerramento antecipado do contrato. Devido à rescisão antes do prazo mínimo, será retido o valor do caução e aplicada a multa contratual conforme as cláusulas previstas no contrato de locação.",sem condições financeiras
SKJ8E68,W&W LOCADORA DE VEICULOS LTDA,31/07/2025,01/08/2025,Liberação de placa/desistência,Liberação de placa/desistência
SKI4E97,LOC AND GO LTDA,30/07/2025,01/08/2025,Cancelado por motivos de não adaptação da moto,não adaptação ao modelo da motocicleta
SKO1H66,RJD INDEPENDENCIA FINANCEIRA E MOBILIDADE LTDA,07/05/2025,01/08/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SJX4G75,W&W LOCADORA DE VEICULOS LTDA,13/01/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TGR4G37,LOCAGORA 1000 LTDA,22/04/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TGR3E71,JP LOCMOTOS LTDA,28/04/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
SKQ7H58,Pinheiro Locação Ltda,23/05/2025,31/07/2025,Sem informações,Sem informações
SKN4D04,RJD INDEPENDENCIA FINANCEIRA E MOBILIDADE LTDA,19/05/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência e falta do pagamento de algumas parcelas do acordo de manutenção, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
SKM9C11,Fillipe Felix - SALVADOR (Antiga ACRP LOCACAO),28/12/2024,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGR8B06,FBF LOCACOES E SERVICOS LTDA,14/04/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGU9A25,LOCNOG LOCACOES LTDA,27/05/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGR3D83,FBF LOCACOES E SERVICOS LTDA,27/06/2025,31/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência